Referência (na ocasião do registro ou da renovação de adequação a RDC 134/2003);Princípio ativo;Nome comercial do medicamento similar;Detentor do registro do medicamento similar;Forma Farmacêutica;Concentração;Data da inclusão
Clavulin BD;amoxicilina + clavulanato de potássio;Sinot Clav;EUROFARMA LABORATÓRIOS S.A.;PÓ PARA SUSPENSÃO ORAL;80 MG/ML + 11,4 MG/ML;15/12/2014
Clavulin BD;amoxicilina + clavulanato de potássio;Uciclav;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;875 MG + 125 MG;31/08/2016
Clavulin BD;amoxicilina + clavulanato de potássio;Uciclav;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;PÓ PARA SUSPENSÃO ORAL;80 MG/ML + 11,4 MG/ML;31/08/2016
Clavulin IV;amoxicilina + ácido clavulânico;Doclaxin;BLAU FARMACÊUTICA S.A.;PÓ INJETÁVEL + SOLUÇÃO DILUENTE;500 MG + 100 MG;15/12/2014
Clavulin IV;amoxicilina + ácido clavulânico;Doclaxin;BLAU FARMACÊUTICA S.A.;PÓ INJETÁVEL;500 MG + 100 MG;15/12/2014
Clavulin IV;amoxicilina + ácido clavulânico;Doclaxin;BLAU FARMACÊUTICA S.A.;PÓ INJETÁVEL + SOLUÇÃO DILUENTE;1000 MG + 200 MG;15/12/2014
Clavulin IV;amoxicilina + ácido clavulânico;Doclaxin;BLAU FARMACÊUTICA S.A.;PÓ INJETÁVEL;1000 MG + 200 MG;15/12/2014
Cliane;estradiol + acetato de noretisterona;Tiste;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;2,0 MG + 1,0 MG;15/12/2014
Clinagel;fosfato de clindamicina;Clindacne;THERASKIN FARMACEUTICA LTDA.;GEL;10 MG/G;15/12/2014
Clonidin;cloridrato de clonidina;Clize;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;SOLUÇÃO INJETÁVEL;150 MCG/ML;30/09/2019
Clorana;hidroclorotiazida;Cloragio;MEDLEY FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;25 MG;30/06/2016
Clorana;hidroclorotiazida;Cloragio;MEDLEY FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;50 MG;30/06/2016
Clorana;hidroclorotiazida;Diurezin;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Clorana;hidroclorotiazida;Diurezin;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;COMPRIMIDO SIMPLES;50MG;15/12/2014
Clorana;hidroclorotiazida;Diurix;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Clorana;hidroclorotiazida;Diurix;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;50 MG;15/12/2014
Clorana;hidroclorotiazida;Hidroflux;MEDQUIMICA INDÚSTRIA FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Clorana;hidroclorotiazida;Hidroflux;MEDQUIMICA INDÚSTRIA FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;50 MG;15/12/2014
Clorana;hidroclorotiazida;Hidroless;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Clorana;hidroclorotiazida;Hidroless;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;COMPRIMIDO SIMPLES;50 MG;15/12/2014
Clorana;hidroclorotiazida;Hidromed;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Clorana;hidroclorotiazida;Hidromed;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO SIMPLES;50 MG;15/12/2014
Clorana;hidroclorotiazida;Iquego - Hidroclorotiazida;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;COMPRIMIDO SIMPLES;25 MG;31/10/2016
Clorana;hidroclorotiazida;Neo Hidroclor;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Clorana;hidroclorotiazida;Neo Hidroclor;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;50 MG;15/12/2014
cloridrato de bupivacaína Hypofarma;cloridrato de bupivacaína;Tradinol;HIPOLABOR FARMACEUTICA LTDA;SOLUÇÃO INJETÁVEL;5 MG/ML;15/12/2014
cloridrato de bupivacaína Hypofarma;cloridrato de bupivacaína;Bupstesic;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO INJETÁVEL;5 MG/ML;30/04/2018
cloridrato de propranolol EMS S/A;cloridrato de propranolol;Pressoflux;MEDQUIMICA INDÚSTRIA FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;40 MG;15/12/2014
cloridrato de propranolol EMS S/A;cloridrato de propranolol;Propalol;LABORATÓRIO GLOBO LTDA;COMPRIMIDO SIMPLES;40 MG;30/04/2018
cloridrato de propranolol EMS S/A;cloridrato de propranolol;Propranolom;LABORATÓRIOS OSÓRIO MORAES LTDA.;COMPRIMIDO SIMPLES;40 MG;30/04/2017
Codein;fosfato de codeína;Cod;SUPERA FARMA LABORATÓRIOS S.A;COMPRIMIDO SIMPLES;30 MG;17/06/2019
Codein;fosfato de codeína;Cod;SUPERA FARMA LABORATÓRIOS S.A;COMPRIMIDO SIMPLES;60 MG;17/06/2019
Codein;fosfato de codeína;Cod;SUPERA FARMA LABORATÓRIOS S.A;SOLUÇÃO ORAL;3 MG/ML;17/06/2019
Codein;fosfato de codeína;Cod;SUPERA FARMA LABORATÓRIOS S.A;SOLUÇÃO INJETÁVEL;30 MG/ML;17/06/2019
Colchis;colchicina;Cixin;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;0,5 MG;30/04/2017
Colchis;colchicina;Cocichimil;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COMPRIMIDO SIMPLES;0,5 MG;15/12/2014
Colchis;colchicina;Cocichimil;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COMPRIMIDO SIMPLES;1 MG;15/12/2014
Colchis;colchicina;Goltrite;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;0,5 MG;11/05/2020
Colpistatin;benzoilmetronida zol + nistatina + cloreto de benzalcônio;Bio - Vagin;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;CREME VAGINAL;62,5 MG/G + 25.000 UI/G + 1,25 MG/G;15/12/2014
Colpistatin;benzoilmetronida zol + nistatina + cloreto de benzalcônio;Colpist MT;ATIVUS FARMACÊUTICA LTDA;CREME VAGINAL;62,5 MG/G + 25.000 UI/ G + 1,25 MG/ G;15/12/2014
Colpistatin;benzoilmetronida zol + nistatina + cloreto de benzalcônio;Kolpitrat;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CREME VAGINAL;62,5 MG/G + 25.000 UI/ G + 1,25 MG/ G;15/12/2014
Colpotrofine;promestrieno;Antrofi;EUROFARMA LABORATÓRIOS S.A.;CREME VAGINAL;10 MG/G;15/12/2014
Colpotrofine;promestrieno;Avestria;MOMENTA FARMACÊUTICA LTDA;CREME VAGINAL;10 MG/G;15/12/2015
Colpotrofine;promestrieno;Coltrieno;ATIVUS FARMACÊUTICA LTDA;CREME VAGINAL;10 MG/G;28/02/2017
Colpotrofine;promestrieno;Promim;SUPERA FARMA LABORATÓRIOS S.A;CREME VAGINAL;10 MG/G;15/12/2014
Combigan;dextrotartarato de brimonidina + maleato de timolol;Britens;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO OFTÁLMICA;2 MG/ML + 5 MG/ML;31/08/2016
Combigan;dextrotartarato de brimonidina + maleato de timolol;Tinodin;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;SOLUÇÃO OFTÁLMICA;2 MG/ML + 5 MG/ML;31/10/2017
Combigan;dextrotartarato de brimonidina + maleato de timolol;Visoneo;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;SOLUÇÃO OFTÁLMICA;2 MG/ML + 5 MG/ML;15/12/2014
Combodart;dutasterida + cloridrato de tansulosina;Dutam;ZODIAC PRODUTOS FARMACÊUTICOS S/A;CÁPSULA GELATINOSA DURA COM AÇÃO PROLONGADA;0,5 MG + 0,4 MG;31/08/2017
Comtan;entacapona;Capinson;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;200 MG;15/12/2014
Comtan;entacapona;Capona;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;200 MG;15/12/2014
Comtan;entacapona;Entapark;EMS S/A;COMPRIMIDO REVESTIDO;200 MG;15/12/2014
Comtan;entacapona;Entarkin;EMS SIGMA PHARMA LTDA;COMPRIMIDO REVESTIDO;200 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Bisopro-Gran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Bisopro-Gran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;2,5 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Bisopro-Gran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Bisopro-Gran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;1,25 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Concárdio;EMS S/A;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Concárdio;EMS S/A;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Concárdio;EMS S/A;COMPRIMIDO REVESTIDO;1,25 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Concárdio;EMS S/A;COMPRIMIDO REVESTIDO;2,5 MG;15/12/2014
Concor;hemifumarato de bisoprolol;Coraprol;MEDLEY FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;1,25 MG;31/03/2019
Concor;hemifumarato de bisoprolol;Coraprol;MEDLEY FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;2,5 MG;31/03/2019
Concor;hemifumarato de bisoprolol;Coraprol;MEDLEY FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;5 MG;31/03/2019
Concor;hemifumarato de bisoprolol;Coraprol;MEDLEY FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;10 MG;31/03/2019
Concor;hemifumarato de bisoprolol;Iccor;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;1,25 MG;11/05/2020
Concor;hemifumarato de bisoprolol;Iccor;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;2,5 MG;11/05/2020
Concor;hemifumarato de bisoprolol;Iccor;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;5 MG;11/05/2020
Concor;hemifumarato de bisoprolol;Iccor;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;10 MG;11/05/2020
Cordarex;besilato de anlodipino;Alivpress;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO SIMPLES;2,5 MG;15/12/2014
Cordarex;besilato de anlodipino;Nicord;MARJAN INDÚSTRIA E COMÉRCIO LTDA;COMPRIMIDO SIMPLES;2,5 MG;15/12/2014
Coreg;carvedilol;Balancore;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;3,125 MG;15/12/2014
Coreg;carvedilol;Balancore;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;6,25 MG;15/12/2014
Coreg;carvedilol;Balancore;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Coreg;carvedilol;Balancore;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;12,5 MG;15/12/2014
Coreg;carvedilol;Becarve;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;6,25 MG;15/12/2014
Coreg;carvedilol;Becarve;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;12,5 MG;15/12/2014
Coreg;carvedilol;Becarve;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Coreg;carvedilol;Becarve;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;3,125 MG;15/12/2014
Coreg;carvedilol;Cardbet;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;3,125 MG;31/08/2018
Coreg;carvedilol;Cardbet;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;6,25 MG;31/08/2018
Coreg;carvedilol;Cardbet;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;12,5 MG;31/08/2018
Coreg;carvedilol;Cardbet;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;25 MG;31/08/2018
Coreg;carvedilol;Cardilol;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;3,125 MG;15/12/2014
Coreg;carvedilol;Cardilol;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;6,250 MG;15/12/2014
Coreg;carvedilol;Cardilol;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;12,50 MG;15/12/2014
Coreg;carvedilol;Cardilol;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Coreg;carvedilol;Carvedilat;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;3,125 MG;31/12/2016
Coreg;carvedilol;Carvedilat;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;6,25 MG;31/12/2016
Coreg;carvedilol;Carvedilat;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;12,5 MG;31/12/2016
Coreg;carvedilol;Carvedilat;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;25 MG;31/12/2016
Coreg;carvedilol;Carvegran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;3,125 MG;15/12/2014
Coreg;carvedilol;Carvegran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;6,25 MG;15/12/2014
Coreg;carvedilol;Carvegran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;12,5 MG;15/12/2014
Coreg;carvedilol;Carvegran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Coreg;carvedilol;Corediol;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;3,125 MG;15/12/2014
Coreg;carvedilol;Corediol;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;6,25 MG;15/12/2014
Coreg;carvedilol;Corediol;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;12,5 MG;15/12/2014
Coreg;carvedilol;Corediol;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Coreg;carvedilol;Cronocor;ACTAVIS FARMACEUTICA LTDA.;COMPRIMIDO SIMPLES;3,125 MG;15/12/2014
Coreg;carvedilol;Cronocor;ACTAVIS FARMACEUTICA LTDA.;COMPRIMIDO SIMPLES;6,25 MG;15/12/2014
Coreg;carvedilol;Cronocor;ACTAVIS FARMACEUTICA LTDA.;COMPRIMIDO SIMPLES;12,5 MG;15/12/2014
Coreg;carvedilol;Cronocor;ACTAVIS FARMACEUTICA LTDA.;COMPRIMIDO SIMPLES;25 MG;15/12/2014
Coreg;carvedilol;Karvil;TORRENT DO BRASIL LTDA;COMPRIMIDO SIMPLES;25 MG;31/03/2019
Co-Renitec;maleato de enalapril + hidroclorotiazida;Co-Pressotec;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;10 MG + 25 MG;15/12/2014
Co-Renitec;maleato de enalapril + hidroclorotiazida;Co-Pressotec;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;20 MG + 12,5 MG;15/12/2014
Co-Renitec;maleato de enalapril + hidroclorotiazida;Eupressin H;BIOSINTÉTICA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;10 MG + 25 MG;30/06/2017
Co-Renitec;maleato de enalapril + hidroclorotiazida;Eupressin H;BIOSINTÉTICA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;20 MG + 12,5 MG;30/06/2017
Co-Renitec;maleato de enalapril + hidroclorotiazida;Malena Hct;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;10 MG + 25 MG;15/12/2014
Co-Renitec;maleato de enalapril + hidroclorotiazida;Malena Hct;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;20 MG + 12,5 MG;15/12/2014
Co-Renitec;maleato de enalapril + hidroclorotiazida;Vasopril Plus;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;10 MG + 25 MG;15/12/2014
Co-Renitec;maleato de enalapril + hidroclorotiazida;Vasopril Plus;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;20 MG + 12,5 MG;15/12/2014
Cortisonal;succinato sódico de hidrocortisona;Androcortil;LABORATÓRIO TEUTO BRASILEIRO S/A;PÓ LIÓFILO + SOLUÇÃO DILUENTE;100 MG;15/12/2014
Cortisonal;succinato sódico de hidrocortisona;Androcortil;LABORATÓRIO TEUTO BRASILEIRO S/A;PÓ LIÓFILO + SOLUÇÃO DILUENTE;500 MG;15/12/2014
Cortisonal;succinato sódico de hidrocortisona;Hidrosone;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;PÓ LIÓFILO + SOLUÇÃO DILUENTE;100 MG;27/07/2015
Cortisonal;succinato sódico de hidrocortisona;Hidrosone;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;PÓ LIÓFILO + SOLUÇÃO DILUENTE;500 MG;27/07/2015
Corus;losartana potássica;Aradois;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;25 MG;15/12/2014
Corus;losartana potássica;Losartec;MARJAN INDÚSTRIA E COMÉRCIO LTDA;COMPRIMIDO REVESTIDO;25 MG;31/08/2016
Corus;losartana potássica;Torlós;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;25 MG;15/12/2014
Corus;losartana potássica;Valtrian;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;25 MG;15/12/2014
Corus;losartana potássica;Zart;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;25 MG;15/12/2014
Cosopt;cloridrato de dorzolamida + maleato de timolol;Dorzal Mt;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO OFTÁLMICA;20 MG/ML + 5 MG/ML;30/04/2017
Cosopt;cloridrato de dorzolamida + maleato de timolol;Drusolol Td;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO OFTÁLMICA;20 MG/ML + 5 MG/ML;15/12/2014
Cosopt;cloridrato de dorzolamida + maleato de timolol;Glalfital;LABORATÓRIO TEUTO BRASILEIRO S/A;SOLUÇÃO OFTÁLMICA;20 MG/ML + 5 MG/ML;15/12/2014
Cosopt;cloridrato de dorzolamida + maleato de timolol;Novasopt;NOVA QUIMICA FARMACÊUTICA S/A;SOLUÇÃO OFTÁLMICA;20 MG/ML + 5 MG/ML;28/02/2017
Cosopt;cloridrato de dorzolamida + maleato de timolol;Pert Mt;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SOLUÇÃO OFTÁLMICA;20 MG/ML + 5 MG/ML;31/12/2017
Cosopt;cloridrato de dorzolamina + maleato de timolol;Pressaliv;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;SOLUÇÃO OFTÁLMICA;20 MG/ML + 5 MG/ML;15/12/2014
Cosopt;cloridrato de dorzolamida + maleato de timolol;Timosopt;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;SOLUÇÃO OFTÁLMICA;20 MG/ML + 5 MG/ML;15/12/2014
Cozaar;losartana potássica;Aradois;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Arartan;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Arartan;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Corus;BIOSINTÉTICA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Cozaless;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;COMPRIMIDO REVESTIDO;50 MG;06/02/2020
Cozaar;losartana potássica;Cytrana;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Cytrana;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Lanzacor;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO REVESTIDO;50 MG;31/08/2016
Cozaar;losartana potássica;Lanzacor;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO REVESTIDO;100 MG;31/08/2016
Cozaar;losartana potássica;Lorsacor;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Losacoron;VITAPAN INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Losacoron;VITAPAN INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Losartana Potassica;PRATI DONADUZZI & CIA LTDA;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Losartana Potassica;PRATI DONADUZZI & CIA LTDA;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Losartion;MERCK S/A;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Losartion;MERCK S/A;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Lotanol;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Torlós;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Torlós;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Valtrian;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Valtrian;MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
Cozaar;losartana potássica;Zaarpress;EMS SIGMA PHARMA LTDA;COMPRIMIDO REVESTIDO;50 MG;31/12/2016
Cozaar;losartana potássica;Zaarpress;EMS SIGMA PHARMA LTDA;COMPRIMIDO REVESTIDO;100 MG;31/12/2016
Cozaar;losartana potássica;Zart;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;50 MG;15/12/2014
Cozaar;losartana potássica;Zart;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;100 MG;15/12/2014
C-Platin;cisplatina;Citoplax;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;SOLUÇÃO INJETÁVEL;1 MG/ML;06/02/2020
C-Platin;cisplatina;Fauldcispla;LIBBS FARMACÊUTICA LTDA;SOLUÇÃO INJETÁVEL;1 MG/ML;30/06/2016
C-Platin;cisplatina;Myllcis;MYLAN LABORATORIOS LTDA;SOLUÇÃO INJETÁVEL;1 MG/ML;30/11/2018
Crestor;rosuvastatina cálcica;Cardiale;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;20 MG;15/12/2014
Crestor;rosuvastatina cálcica;Cardiale;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;40 MG;15/12/2014
Crestor;rosuvastatina cálcica;Cardiale;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Crestor;rosuvastatina cálcica;Creslip;ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;COMPRIMIDO REVESTIDO;5 MG;17/06/2019
Crestor;rosuvastatina cálcica;Creslip;ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;COMPRIMIDO REVESTIDO;10 MG;17/06/2019
Crestor;rosuvastatina cálcica;Creslip;ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;COMPRIMIDO REVESTIDO;20 MG;17/06/2019
Crestor;rosuvastatina cálcica;Creslip;ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;COMPRIMIDO REVESTIDO;40 MG;17/06/2019
Crestor;rosuvastatina cálcica;Elpenzo;MERCK S/A;COMPRIMIDO REVESTIDO;5 MG;06/02/2020
Crestor;rosuvastatina cálcica;Elpenzo;MERCK S/A;COMPRIMIDO REVESTIDO;10 MG;06/02/2020
Crestor;rosuvastatina cálcica;Elpenzo;MERCK S/A;COMPRIMIDO REVESTIDO;20 MG;06/02/2020
Crestor;rosuvastatina cálcica;Estrentor;WYETH INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;10 MG;31/10/2017
Crestor;rosuvastatina cálcica;Estrentor;WYETH INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;20 MG;31/10/2017
Crestor;rosuvastatina cálcica;Plenance;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;5 MG;31/01/2019
Crestor;rosuvastatina cálcica;Plenance;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Crestor;rosuvastatina cálcica;Plenance;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;20 MG;15/12/2014
Crestor;rosuvastatina cálcica;Rostatin;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Crestor;rosuvastatina cálcica;Rostatin;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;40 MG;15/12/2014
